8837650418558635 top-up 1300.0
8838176589697387 top-up 500.0
8978885673659119 top-up 500.0
8970991085045830 top-up 700.0
8978885673659119 debit 240.2 Amazon
8837650418558635 debit 99.62 Geek_Gear
8451443688899991 debit 182.25 Lemon_Computer
8431416357341290 debit 103.63 Weyland_Research
8560234063672697 credit -223.76 Trask_Heavy_Industries
8560234063672697 credit -163.58 Acme
8431416357341290 credit -181.11 SuperMegaCorp
8560234063672697 debit 206.39 Geek_Gear
8837650418558635 debit 241.13 SuperMegaCorp
8451443688899991 debit 238.13 Amazon
8560234063672697 debit 90.0 Amazon
8838176589697387 credit -106.23 Trask_Heavy_Industries
8837650418558635 debit 110.17 Acme
8970991085045830 credit -241.45 Trask_Heavy_Industries
8970991085045830 credit -156.85 Geek_Gear
8683633501199637 debit 188.94 SuperMegaCorp
8683633501199637 debit 30.84 Gas_N_Go
8431416357341290 debit 76.77 Acme
8838176589697387 credit -155.85 Lemon_Computer
8431416357341290 credit -8.21 Gas_N_Go
8838176589697387 debit 44.66 SuperMegaCorp
8838176589697387 credit -98.9 Zorg_Corporation
8970991085045830 debit 79.75 Lemon_Computer
8431416357341290 credit -65.12 Lemon_Computer
8837650418558635 credit -147.12 Geek_Gear
8978885673659119 debit 65.08 Geek_Gear
8970991085045830 debit 140.65 Amazon
8970991085045830 debit 0.64 Acme
8970991085045830 debit 1.34 Acme
8970991085045830 top-up 900.0
8978885673659119 credit -250.71 XYZ_Inc
8451443688899991 debit 30.5 Gas_N_Go
8837650418558635 credit -197.16 Trask_Heavy_Industries
8431416357341290 debit 237.14 SuperMegaCorp
8431416357341290 debit 121.36 Zorg_Corporation
8838176589697387 debit 87.98 Amazon
8560234063672697 credit -42.88 SuperMegaCorp
8837650418558635 credit -122.87 Lemon_Computer
8978885673659119 credit -240.69 Weyland_Research
8431416357341290 debit 16.7 Gas_N_Go
8683633501199637 credit -214.89 Lemon_Computer
8431416357341290 debit 246.3 Trask_Heavy_Industries
8683633501199637 redeem 20000
8431416357341290 credit -242.98 XYZ_Inc
8683633501199637 credit -191.02 Gas_N_Go
8431416357341290 debit 77.82 Zorg_Corporation
8683633501199637 debit 134.45 Amazon
8560234063672697 credit -151.33 Geek_Gear
8970991085045830 credit -76.04 Geek_Gear
8837650418558635 credit -189.86 Geek_Gear
8838176589697387 top-up 400.0
8560234063672697 credit -144.15 Trask_Heavy_Industries
8838176589697387 debit 8.09 SuperMegaCorp
8978885673659119 debit 109.04 Gas_N_Go
8838176589697387 debit 184.24 Zorg_Corporation
8431416357341290 debit 80.44 Trask_Heavy_Industries
8431416357341290 credit -217.07 Zorg_Corporation
8838176589697387 debit 133.73 XYZ_Inc
8837650418558635 credit -188.07 Gas_N_Go
8970991085045830 debit 248.65 Lemon_Computer
8978885673659119 top-up 1200.0
8837650418558635 debit 199.29 XYZ_Inc
8978885673659119 top-up 500.0
8970991085045830 credit -43.55 Zorg_Corporation
8683633501199637 debit 216.44 Zorg_Corporation
8431416357341290 credit -214.52 XYZ_Inc
8838176589697387 credit -204.01 Geek_Gear
8560234063672697 debit 71.21 Trask_Heavy_Industries
8560234063672697 credit -224.33 Amazon
8978885673659119 credit -237.34 Gas_N_Go
8431416357341290 credit -156.79 Zorg_Corporation
8838176589697387 debit 238.77 Acme
8560234063672697 credit -131.84 Gas_N_Go
8978885673659119 credit -252.8 Geek_Gear
8837650418558635 top-up 800.0
8683633501199637 debit 24.09 SuperMegaCorp
8451443688899991 credit -20.74 SuperMegaCorp
8970991085045830 debit 55.69 Weyland_Research
8837650418558635 debit 202.55 Weyland_Research
8431416357341290 debit 111.22 Weyland_Research
8838176589697387 credit -115.52 Amazon
8837650418558635 debit 17.87 Geek_Gear
8560234063672697 credit -243.44 Weyland_Research
8431416357341290 credit -122.74 Amazon
8431416357341290 debit 100.99 Amazon
8451443688899991 credit -85.23 Amazon
8978885673659119 debit 250.09 Amazon
8431416357341290 credit -130.78 Geek_Gear
8970991085045830 credit -26.01 Acme
8970991085045830 debit 105.57 SuperMegaCorp
8837650418558635 credit -178.14 Weyland_Research
8970991085045830 debit 114.66 Acme
